DateTime,F1R1,F1R2,F2R1,F2R2,F3R1,F3R2,F4R1,F4R2,F5R1,F5R2,F6R1,F6R2,F7R1,F7R2,F8R1,F8R2,F9R1,F9R2,F10R1,F10R2,F11R1,F11R2,F12R1,F12R2
 01/01  01:00:00,23.04638456,23.77455086,21.38045295,22.98802786,23.30246186,22.51226031,21.08116633,21.44295711,24.79666683,25.58491314,22.72933858,24.70968512,25.20460113,24.45244654,22.33823625,22.96968072,24.93455836,25.61734318,23.04995175,24.80263667,25.30459355,24.81089274,22.68314874,23.31989543
 01/01  02:00:00,22.73230562,23.45067118,21.13773744,22.67080078,22.96472608,22.25178103,21.00017029,21.19348292,24.50761451,25.30975385,22.51511879,24.41886098,24.88195092,24.19834471,22.1232905,22.73649655,24.63282899,25.3384274,22.80828363,24.49940433,24.98228802,24.53464216,22.44061414,23.056852
 01/01  03:00:00,22.52200335,23.21658663,21.01820901,22.44757487,22.74001438,22.08069031,21.00027405,21.04002116,24.29712098,25.09142801,22.38620994,24.19751977,24.64224869,24.01539306,21.99583132,22.57561142,24.40448827,25.11341602,22.64330912,24.26271255,24.73361595,24.32164813,22.27642669,22.86203593
 01/01  04:00:00,22.31783069,22.9940001,21.0001266,22.23541231,22.52193003,21.91509669,21.00036401,21.00012393,24.08937889,24.87647444,22.25614873,23.9820784,24.40670757,23.83539792,21.86807837,22.41776613,24.17907175,24.88992352,22.47942835,24.03189056,24.48752245,24.11192443,22.11285802,22.67099479
 01/01  05:00:00,22.13031496,22.7874939,21.00022668,22.04101516,22.32181062,21.76241139,21.00044144,21.00026391,23.89130304,24.66827788,22.13326839,23.77672277,24.18290701,23.66264092,21.74868427,22.26846563,23.96475529,24.67354571,22.32518807,23.81257595,24.25274441,23.9111611,21.95913046,22.49048109
 01/01  06:00:00,21.94348365,22.5825697,21.00032242,21.8495187,22.12265965,21.60868221,21.00052042,21.00040092,23.69015714,24.45650214,22.00436077,23.5698312,23.95779145,23.48513791,21.62373367,22.11573758,23.74931037,24.45450155,22.16779969,23.59349377,24.01712901,23.70828931,21.80228351,22.30867531
 01/01  07:00:00,21.75669951,22.37825938,21.00041577,21.6597989,21.92401961,21.45341593,21.00060343,21.00053805,23.48658831,24.24176786,21.87024493,23.3617514,23.73191653,23.30344688,21.49388325,21.96022413,23.53282064,24.23308715,22.00725094,23.37443496,23.78095632,23.50336032,21.6423883,22.1255359
 01/01  08:00:00,22.07266979,22.50851856,21.00015885,21.80661839,22.07765113,21.9410463,21.00030603,21.09158229,23.7099542,24.33031485,22.05083208,23.45800695,23.82569125,23.64918212,21.68070854,22.33708381,23.75701653,24.32115178,22.16733967,23.46681118,23.8711641,23.84535833,21.8060071,22.49480992
 01/01  09:00:00,22.55651678,22.62945257,21.00003024,21.91896178,22.18855348,22.65217378,21.00014438,21.82189615,24.04471312,24.39881722,22.18651626,23.5180066,23.87541268,24.11317385,21.82594961,22.83011996,24.11990666,24.39910781,22.29391306,23.53263573,23.92857608,24.33320519,21.93972869,23.00338098
 01/01  10:00:00,23.28650711,22.73342997,21.06062083,21.97582358,22.30075544,23.298219,21.00008297,22.48960761,24.47637782,24.44424092,22.25591581,23.52902498,23.91176451,24.55690361,21.9047699,23.30637753,24.59338437,24.47016385,22.37103031,23.56468439,24.03720831,24.79705263,22.02604017,23.49589676
 01/01  11:00:00,24.32001208,22.85019205,21.12469565,22.01157433,22.85753716,23.5553176,21.02666906,22.73987816,25.11144785,24.49339301,22.30258912,23.51953363,24.21963275,24.85770891,21.9571036,23.63276096,25.29607229,24.5754992,22.45975743,23.60731744,24.4837687,25.12647021,22.11779655,23.84685307
 01/01  12:00:00,25.39963124,23.27773085,21.56790125,22.37070298,24.32538629,23.72190381,21.37876762,22.85592171,25.90906086,24.88717371,22.74252639,23.84999133,25.21086161,25.1700811,22.40672482,23.94293979,25.96278725,25.02738989,22.947168,24.00028056,25.55467112,25.46318686,22.61963779,24.18187702
 01/01  13:00:00,25.98157415,23.67273784,21.95019981,22.72345154,25.60416781,23.80401854,21.73496241,22.90368409,26.00028806,25.24570519,23.10739619,24.17115067,25.95159893,25.38015158,22.78425418,24.13318272,26.00000198,25.47166471,23.40577086,24.39725301,26.00037162,25.7083237,23.08885606,24.40670038
 01/01  14:00:00,26.00040988,24.38487308,22.29053154,23.42106618,25.99957788,23.97555402,22.05944263,23.00839268,26.00004222,25.79122844,23.4166991,24.70378277,26.00041845,25.61664623,23.09602946,24.33045241,26.00004927,25.97489163,23.83305058,25.03262273,26.00005643,25.97103361,23.51948798,24.6718377
 01/01  15:00:00,26.00112425,25.46622183,22.52668439,24.48166129,26.00055812,24.13084355,22.29557316,23.1060977,26.00003691,26.00030393,23.63535137,25.43861277,26.00004496,25.81539315,23.32585473,24.4857566,26.00004632,26.00033902,24.15098199,25.81986382,26.00005331,26.00023893,23.84492725,24.91451279
 01/01  16:00:00,25.58573936,25.99952668,22.64352324,25.67229056,26.00058768,24.19199657,22.41384699,23.12446145,26.00002779,26.00003784,23.76451728,25.98816102,26.00103884,25.93904497,23.46718601,24.54974781,26.00003564,26.00004283,24.3464053,26.00062121,26.00005434,26.00036844,24.04907542,25.04170871
 01/01  17:00:00,25.29867884,26.00001648,22.65494799,26.0003503,26.00050587,24.14112175,22.41173927,23.03807434,26.0006537,26.00002048,23.8012055,26.00039213,26.00110016,25.97137071,23.50113714,24.50228079,26.00001395,26.00002485,24.40867504,26.00002415,26.00002584,26.00042703,24.10442754,25.03108303
 01/01  18:00:00,25.01245066,26.00001876,22.60603345,25.67305805,25.86658806,23.97549329,22.32539309,22.8560331,26.00042558,26.00000931,23.78860769,26.00017223,26.00056802,25.90320346,23.46883409,24.36137218,26.00018189,26.00001252,24.38254154,26.00026661,26.00001245,26.0002988,24.05755285,24.89333489
 01/01  19:00:00,24.73328619,25.85663651,22.49687395,25.08910101,25.33148567,23.80472806,22.18505414,22.68796878,26.00032278,26.00001899,23.72194525,26.00039934,26.00001716,25.78633273,23.38117616,24.21805342,26.00049421,26.00002132,24.2629232,26.00060193,26.00001883,26.00021349,23.9217229,24.70940053
 01/01  20:00:00,24.50369476,25.50763903,22.42069127,24.68928732,24.95976064,23.68005798,22.09550573,22.57589963,26.00020106,26.00049019,23.68861449,26.00023706,26.00082557,25.68384742,23.33466062,24.12360468,26.00039886,26.0000018,24.16633531,26.00041718,26.00041591,26.0001096,23.81736575,24.56711775
 01/01  21:00:00,24.31525991,25.21120283,22.3470358,24.41384719,24.70158799,23.55946858,22.01914391,22.47011695,25.97840405,26.00089945,23.64526915,25.96960198,26.00063702,25.56849205,23.28391057,24.02817914,26.00019085,26.00093842,24.07868709,26.0001576,26.00073292,25.96232256,23.72834183,24.43886466
 01/01  22:00:00,24.09254221,24.90005122,22.22009321,24.1166408,24.43008911,23.39135181,21.88876583,22.30880579,25.80426869,26.00065712,23.54359907,25.76482076,26.0003654,25.3996159,23.17411127,23.87009917,25.94923756,26.00070326,23.9380967,25.87996467,26.00046044,25.76522458,23.58476659,24.24740117
 01/01  23:00:00,23.8435119,24.59876137,22.04974223,23.82342581,24.14525356,23.19460423,21.71879411,22.11232835,25.56358995,26.00038288,23.3940689,25.49586991,25.98583171,25.18022709,23.01453228,23.65897323,25.70326175,26.00042018,23.74405868,25.59552653,26.00013859,25.53133907,23.38154447,24.01720379
 01/01  24:00:00,23.51334999,24.24209649,21.78112136,23.46368752,23.79160119,22.91552303,21.44145123,21.83936736,25.24026269,25.98114402,23.13475761,25.15409837,25.67969896,24.87983565,22.7400558,23.37061092,25.3806361,25.99388271,23.44086775,25.24849294,25.77534497,25.23121271,23.07199582,23.72823541
 01/02  01:00:00,23.26876745,23.97983509,21.60939842,23.20285846,23.5275171,22.73053039,21.27449435,21.66419847,25.00757859,25.78139164,22.96662509,24.91363112,25.414109,24.67631389,22.57421757,23.18947946,25.14572997,25.81592935,23.27437266,25.0088043,25.51566491,25.02330495,22.90652729,23.53451138
 01/02  02:00:00,23.07761123,23.76696888,21.49301689,22.99920757,23.31529188,22.58381502,21.16264436,21.53304916,24.82007178,25.59828319,22.85481398,24.71685883,25.19517479,24.51628999,22.46181662,23.05337805,24.95401619,25.63760942,23.14408545,24.80854259,25.30571186,24.85067857,22.77643665,23.37757531
 01/02  03:00:00,22.89987412,23.57087166,21.38667611,22.81217231,23.11955379,22.4477601,21.06093521,21.41272788,24.64057275,25.41607522,22.75171497,24.52977511,24.98625394,24.36564545,22.35979029,22.92478532,24.77027712,25.46174387,23.02347249,24.61931867,25.10115649,24.68516638,22.65623836,23.22948647
 01/02  04:00:00,22.72874691,23.38352269,21.28422672,22.63474536,22.93171929,22.31515782,21.00004546,21.29646206,24.46378998,25.23438168,22.65080198,24.34714376,24.78226808,24.21633633,22.25959094,22.79825948,24.58919055,25.28471185,22.90425152,24.43454304,24.89977365,24.52117799,22.53735313,23.08421529
 01/02  05:00:00,22.55418614,23.19439246,21.17444649,22.45584249,22.74059611,22.17638686,21.00011691,21.17422455,24.28175695,25.04560303,22.54064117,24.16023296,24.57365313,24.05969945,22.15055437,22.66454829,24.40259381,25.09945463,22.77719484,24.24537938,24.69209945,24.35022648,22.41052685,22.93286035
 01/02  06:00:00,22.37862358,23.0047438,21.05947555,22.27697174,22.54913317,22.03354508,21.0002015,21.04873229,24.09706866,24.85284309,22.42419939,23.9715372,24.36379939,23.89821484,22.03589435,22.52633648,24.21256593,24.90854057,22.64426301,24.05363331,24.48054803,24.17428228,22.27782549,22.77735723
 01/02  07:00:00,22.19753659,22.81040142,21.00008497,22.09391761,22.3544866,21.88310785,21.00028953,21.00011753,23.90543927,24.65274831,22.29794613,23.77729742,24.14912097,23.72845856,21.91241516,22.38017854,24.0145201,24.7084471,22.50154223,23.8551934,24.26216161,23.98956419,22.13541382,22.61379477
 01/02  08:00:00,22.52755687,22.95491066,21.17487423,22.25450171,22.52422956,22.38480139,21.00005154,21.44678753,24.15082977,24.76593833,22.50807317,23.89944987,24.26969412,24.09725182,22.12895793,22.76936479,24.26271051,24.8238246,22.69157425,23.9765221,24.38241036,24.35599608,22.32965251,23.00507688
 01/02  09:00:00,23.03594083,23.08504928,21.35673394,22.37742471,22.64390946,23.08294794,21.10926305,22.21091057,24.49835324,24.85676828,22.67930762,23.98281842,24.34348388,24.56634634,22.30886895,23.28124407,24.6381257,24.92444966,22.84074354,24.06684951,24.46303497,24.85177765,22.48692539,23.52869554
 01/02  10:00:00,23.7131285,23.18559353,21.45639769,22.42870488,22.74939999,23.72432739,21.20747856,22.87027468,24.92651606,24.9117654,22.75042013,23.99951873,24.37957951,25.02155773,22.38994324,23.76952407,25.11460845,25.00224672,22.92644871,24.10269178,24.57392298,25.33690922,22.57926451,24.04149653
 01/02  11:00:00,24.69791697,23.28189419,21.519769,22.43553635,23.28260946,23.95440587,21.27161054,23.10203666,25.55479265,24.95801826,22.78291557,23.98124691,24.67277234,25.30607562,22.42725331,24.06638689,25.7699032,25.09731962,23.00796931,24.13378194,25.01580809,25.65049936,22.66552204,24.37421205
 01/02  12:00:00,25.71927684,23.70313325,21.97660418,22.80288541,24.72673364,24.12608288,21.72452393,23.23626547,26.00027853,25.35734507,23.21921849,24.33117524,25.63944934,25.62153121,22.87579772,24.389628,26.00010536,25.5658583,23.51267709,24.54050638,25.88425702,25.9478498,23.18764057,24.6994003
 01/02  13:00:00,26.00044004,24.09716713,22.358796,23.16035097,25.87670808,24.17453062,22.09302611,23.2427822,25.99999867,25.72864195,23.57241383,24.66779564,26.00047681,25.83366212,23.23075142,24.5727638,25.99999377,25.96078264,23.97756134,24.97511345,26.00036145,26.00024734,23.65734476,24.92200025
 01/02  14:00:00,26.00054954,24.75285988,22.63130671,23.7971738,26.00050881,24.33348145,22.36346047,23.34392818,26.00000106,25.99496119,23.81639527,25.13767089,26.00001696,25.98645213,23.48184965,24.74364728,26.00000143,26.00057098,24.31595867,25.54507396,26.0000026,26.00043056,23.99988224,25.17460922
 01/02  15:00:00,26.00025286,25.76359605,22.86707776,24.83599987,26.00056471,24.48135612,22.6003867,23.44170477,25.99997249,26.00073864,24.04052438,25.83051662,26.00096163,26.00018807,23.71811525,24.90343136,25.99996705,25.99998079,24.64889655,26.00011733,26.00059918,26.00055004,24.33971648,25.42173141
 01/02  16:00:00,25.84325327,26.00012587,22.98267462,25.86025248,26.00056827,24.53651651,22.7167765,23.46102868,25.99996445,25.99996552,24.16919083,26.00049816,26.00096436,26.00026726,23.85948782,24.96789854,25.99995644,25.9999463,24.84352785,26.00040767,26.00126681,26.00064181,24.54529315,25.55285963
 01/02  17:00:00,25.58159966,25.9999692,23.00021582,26.00079493,26.00055637,24.48855405,22.72421714,23.38461204,25.99997965,25.99996387,24.2138564,25.99998477,26.00105068,26.00031701,23.90231164,24.92931407,25.99997469,25.99995766,24.91704487,25.9999699,26.00137301,26.00073642,24.6135397,25.55547946
 01/02  18:00:00,25.29243838,26.00002209,22.93757405,25.78164214,25.96976958,24.30410506,22.62801181,23.18827297,26.00053751,25.9999147,24.18721939,26.00021146,26.00050164,26.00019627,23.85884565,24.77361138,25.99994767,25.99990474,24.87129457,25.99992799,25.99995403,26.00053695,24.55098962,25.40364415
 01/02  19:00:00,24.95209451,25.94663405,22.76549853,25.27880035,25.49880019,24.06876962,22.42892303,22.95756138,26.00046516,25.99997034,24.06303031,26.00058296,25.99997442,25.99638134,23.71419198,24.56871659,26.00064095,25.99996565,24.67593911,26.00078639,25.99997103,26.00044192,24.34138389,25.14302042
 01/02  20:00:00,24.66671118,25.65177976,22.62069713,24.85888984,25.09932528,23.87594054,22.26982556,22.77484555,26.00033772,26.00000117,23.95549446,26.00040537,26.00032945,25.91589275,23.59475235,24.40385262,26.00050961,26.00000125,24.49322089,26.00056037,26.00000099,26.00030389,24.15306664,24.90293393
 01/02  21:00:00,24.42333664,25.28808954,22.48321713,24.51640148,24.7893186,23.69208596,22.13126548,22.59877255,26.00012455,26.00093802,23.8511913,26.00014914,26.00068384,25.73575716,23.48333655,24.23805792,26.00029167,26.00045301,24.32241054,26.00027772,26.0007667,26.00621538,23.97858424,24.67997118
 01/02  22:00:00,24.12605735,24.92654717,22.2707487,24.15002093,24.44999092,23.45209923,21.91575848,22.35863886,25.84983257,26.00068557,23.66859727,25.82982606,26.00038702,25.48489709,23.28686254,23.98764271,25.95877153,26.00072363,24.06906817,25.93180811,26.00047891,25.83763307,23.71476611,24.40279571
 01/02  23:00:00,23.80059602,24.5696251,22.0057688,23.78629948,24.10216964,23.18628748,21.64301457,22.09565148,25.53757201,26.00036226,23.42071609,25.49433709,25.97285356,25.20322503,23.0246307,23.71872624,25.66670954,26.00038409,23.77847566,25.59065274,26.00010013,25.54836051,23.42101246,24.12298034
 01/02  24:00:00,23.40228302,24.16105532,21.68842205,23.37792306,23.68103787,22.8585316,21.33161826,21.77458694,25.16875449,25.95646441,23.10533197,25.12711613,25.61133906,24.85585203,22.70982244,23.39417089,25.29231615,25.95676575,23.45746117,25.21755701,25.69506609,25.20677901,23.0988814,23.77915081
 01/03  01:00:00,23.10040211,23.84453417,21.46447208,23.0688875,23.36030457,22.61237338,21.11278185,21.54095565,24.88758438,25.68424462,22.90131636,24.84348582,25.30089671,24.61055861,22.50530307,23.16642138,25.00215113,25.69549017,23.22381134,24.92294404,25.38578192,24.94102273,22.86551796,23.51916092
 01/03  02:00:00,22.85608335,23.58311336,21.29259048,22.8150354,23.10236953,22.41292941,21.00007819,21.35525979,24.65433951,25.46489831,22.74495236,24.60372219,25.04168589,24.40520427,22.34951074,22.9783571,24.75699695,25.47390206,23.03380471,24.67222832,25.12741007,24.71311791,22.67622821,23.29903268
 01/03  03:00:00,22.63353809,23.34496004,21.13986117,22.58537097,22.86693086,22.23104882,21.00017555,21.18844142,24.43414383,25.24460568,22.60088551,24.37766264,24.79591854,24.21211823,22.20657192,22.80379215,24.52398884,25.25151092,22.85711274,24.43490302,24.87739897,24.49540721,22.50027052,23.09245759
 01/03  04:00:00,22.41891927,23.11596699,21.0144517,22.36540259,22.64057123,22.05370426,21.00028794,21.02757332,24.21659157,25.02474604,22.45651432,24.15492912,24.55416946,24.01965652,22.06439655,22.63076744,24.29387182,25.02842354,22.68257389,24.20151594,24.62978403,24.27894828,22.3263423,22.8893198
 01/03  05:00:00,22.19485512,22.87884906,21.00016231,22.13769994,22.40582606,21.86453428,21.00040165,21.00013244,23.98735554,24.79092288,22.2965419,23.92136227,24.302004,23.81391541,21.90786109,22.4450102,24.05244099,24.79070731,22.49495779,23.95772754,24.37027391,24.05023198,22.13917124,22.67537576
 01/03  06:00:00,21.97807181,22.64836155,21.00029423,21.91811254,22.1790308,21.68005482,21.00050283,21.00035424,23.76254268,24.55930973,22.13776976,23.69232554,24.0556347,23.61052998,21.75351188,22.2626953,23.81498037,24.55377507,22.30922096,23.71798078,24.1146881,23.82400584,21.9539126,22.46530252
 01/03  07:00:00,21.77355164,22.42786587,21.00040738,21.71064677,21.96464651,21.50530872,21.00059157,21.00051793,23.54519887,24.33273584,21.98416891,23.47038383,23.81795235,23.41235804,21.60486484,22.08729635,23.5837481,24.31999814,22.12787386,23.48416689,23.86541868,23.60241971,21.77322017,22.26109285
