DateTime,DryBulbTemp,InfraredRadiation,DiffuseSolarRadiation,DirectSolarRadiation
 01/01  01:00:00,13.8,9999,0,0
 01/01  02:00:00,12.275,9999,0,0
 01/01  03:00:00,11.725,9999,0,0
 01/01  04:00:00,11.3,9999,0,0
 01/01  05:00:00,10.975,9999,0,0
 01/01  06:00:00,10.6,9999,0,0
 01/01  07:00:00,10.2,9999,0,0
 01/01  08:00:00,9.95,2706.75,34.75,131.75
 01/01  09:00:00,10.275,276,61.5,342.75
 01/01  10:00:00,12.65,276,87.75,553.75
 01/01  11:00:00,17,275.25,104,735.5
 01/01  12:00:00,21.2,279.5,88.25,829.25
 01/01  13:00:00,23.7,285.5,73,922.5
 01/01  14:00:00,25.4,291.5,57.5,996.5
 01/01  15:00:00,26.775,296.75,43.5,1010.25
 01/01  16:00:00,27.25,301.75,29.5,1023.25
 01/01  17:00:00,26.775,306.75,16.75,904
 01/01  18:00:00,25.25,192.5,5,258.5
 01/01  19:00:00,22.925,7537.75,0,0
 01/01  20:00:00,20.875,9999,0,0
 01/01  21:00:00,19.5,9999,0,0
 01/01  22:00:00,18.45,9999,0,0
 01/01  23:00:00,17.6,9999,0,0
 01/01  24:00:00,16.95,9999,0,0
 01/02  01:00:00,16.35,9999,0,0
 01/02  02:00:00,15.825,9999,0,0
 01/02  03:00:00,15.4,9999,0,0
 01/02  04:00:00,15,9999,0,0
 01/02  05:00:00,14.525,9999,0,0
 01/02  06:00:00,14.025,9999,0,0
 01/02  07:00:00,13.45,9999,0,0
 01/02  08:00:00,12.925,2715,35,127
 01/02  09:00:00,13.025,287,63,335
 01/02  10:00:00,15.2,286.25,91,542.75
 01/02  11:00:00,19.2,286,108,721
 01/02  12:00:00,22.925,291.25,92.25,813
 01/02  13:00:00,25.15,298.25,77,905
 01/02  14:00:00,26.8,305.25,61.5,976
 01/02  15:00:00,28.025,311.5,47.5,983.75
 01/02  16:00:00,28.45,318.25,33.25,990.75
 01/02  17:00:00,28.05,324.5,19.25,871.5
 01/02  18:00:00,26.4,203.75,5.5,249
 01/02  19:00:00,23.275,7540,0,0
 01/02  20:00:00,20.525,9999,0,0
 01/02  21:00:00,18.55,9999,0,0
 01/02  22:00:00,16.825,9999,0,0
 01/02  23:00:00,15.275,9999,0,0
 01/02  24:00:00,14,9999,0,0
 01/03  01:00:00,12.875,9999,0,0
 01/03  02:00:00,12,9999,0,0
 01/03  03:00:00,11.35,9999,0,0
 01/03  04:00:00,10.75,9999,0,0
 01/03  05:00:00,10,9999,0,0
 01/03  06:00:00,9.35,9999,0,0
 01/03  07:00:00,8.825,9999,0,0
 01/03  08:00:00,8.4,2724.75,36,95.5
 01/03  09:00:00,8.75,299.25,71.75,281.5
 01/03  10:00:00,10.7,299,107,467.5
 01/03  11:00:00,14.525,298.25,129.25,633.75
 01/03  12:00:00,19.5,304.75,110.25,740.75
 01/03  13:00:00,23.65,313,91.25,848
 01/03  14:00:00,25.65,321,72.75,931.25
 01/03  15:00:00,26.75,326.75,55.75,940.25
 01/03  16:00:00,27.225,331,38.75,949.25
 01/03  17:00:00,27,335.75,22.75,836.5
 01/03  18:00:00,25.7,210.25,6.5,239
 01/03  19:00:00,23.05,7541.25,0,0
 01/03  20:00:00,20.425,9999,0,0
 01/03  21:00:00,18.45,9999,0,0
 01/03  22:00:00,16.95,9999,0,0
 01/03  23:00:00,15.775,9999,0,0
 01/03  24:00:00,14.825,9999,0,0
 01/04  01:00:00,14.075,9999,0,0
 01/04  02:00:00,13.375,9999,0,0
 01/04  03:00:00,12.825,9999,0,0
 01/04  04:00:00,12.175,9999,0,0
 01/04  05:00:00,11.55,9999,0,0
 01/04  06:00:00,10.95,9999,0,0
 01/04  07:00:00,10.575,9999,0,0
 01/04  08:00:00,10.425,2727.75,36.25,109.5
 01/04  09:00:00,11.225,305.5,69,303.5
